event, ALock, AThread
begin, , 1043351526
acquire, 1262773598, 1043351526
acquire, 1262773598, 1043351526
acquire, 1262773598, 1043351526
acquire, 1262773598, 1043351526
acquire, 1262773598, 1043351526
Sum is :0
release, 1262773598, 1043351526
release, 1262773598, 1043351526
release, 1262773598, 1043351526
release, 1262773598, 1043351526
release, 1262773598, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_O#0 is accuqired and released equivalent times
end, , 1043351526
begin, , 1076770748
acquire, 1262773598, 1076770748
acquire, 1262773598, 1076770748
acquire, 1262773598, 1076770748
acquire, 1262773598, 1076770748
acquire, 1262773598, 1076770748
Sum is :1
release, 1262773598, 1076770748
release, 1262773598, 1076770748
release, 1262773598, 1076770748
release, 1262773598, 1076770748
release, 1262773598, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_O#0 is accuqired and released equivalent times
end, , 1076770748
begin, , 2041416495
acquire, 1262773598, 2041416495
acquire, 1262773598, 2041416495
acquire, 1262773598, 2041416495
acquire, 1262773598, 2041416495
acquire, 1262773598, 2041416495
Sum is :3
release, 1262773598, 2041416495
release, 1262773598, 2041416495
release, 1262773598, 2041416495
release, 1262773598, 2041416495
release, 1262773598, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_O#0 is accuqired and released equivalent times
end, , 2041416495
begin, , 502800944
acquire, 576936864, 502800944
acquire, 576936864, 502800944
acquire, 576936864, 502800944
acquire, 576936864, 502800944
acquire, 576936864, 502800944
Sum is :0
release, 576936864, 502800944
release, 576936864, 502800944
release, 576936864, 502800944
release, 576936864, 502800944
release, 576936864, 502800944
Thread Thread_I#0#0 SUCCEEDED:Lock Lock_I#0#0 is accuqired and released equivalent times
end, , 502800944
begin, , 1043351526
acquire, 576936864, 1043351526
acquire, 576936864, 1043351526
acquire, 576936864, 1043351526
acquire, 576936864, 1043351526
acquire, 576936864, 1043351526
Sum is :0
release, 576936864, 1043351526
release, 576936864, 1043351526
release, 576936864, 1043351526
release, 576936864, 1043351526
release, 576936864, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#0 is accuqired and released equivalent times
end, , 1043351526
begin, , 331418503
acquire, 111156771, 331418503
acquire, 111156771, 331418503
acquire, 111156771, 331418503
acquire, 111156771, 331418503
acquire, 111156771, 331418503
Sum is :1
release, 111156771, 331418503
release, 111156771, 331418503
release, 111156771, 331418503
release, 111156771, 331418503
release, 111156771, 331418503
Thread Thread_I#0#1 SUCCEEDED:Lock Lock_I#0#1 is accuqired and released equivalent times
end, , 331418503
begin, , 1076770748
acquire, 111156771, 1076770748
acquire, 111156771, 1076770748
acquire, 111156771, 1076770748
acquire, 111156771, 1076770748
acquire, 111156771, 1076770748
Sum is :1
release, 111156771, 1076770748
release, 111156771, 1076770748
release, 111156771, 1076770748
release, 111156771, 1076770748
release, 111156771, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#1 is accuqired and released equivalent times
end, , 1076770748
begin, , 1519736165
acquire, 1653844940, 1519736165
acquire, 1653844940, 1519736165
acquire, 1653844940, 1519736165
acquire, 1653844940, 1519736165
acquire, 1653844940, 1519736165
Sum is :3
release, 1653844940, 1519736165
release, 1653844940, 1519736165
release, 1653844940, 1519736165
release, 1653844940, 1519736165
release, 1653844940, 1519736165
Thread Thread_I#0#2 SUCCEEDED:Lock Lock_I#0#2 is accuqired and released equivalent times
end, , 1519736165
begin, , 2041416495
acquire, 1653844940, 2041416495
acquire, 1653844940, 2041416495
acquire, 1653844940, 2041416495
acquire, 1653844940, 2041416495
acquire, 1653844940, 2041416495
Sum is :3
release, 1653844940, 2041416495
release, 1653844940, 2041416495
release, 1653844940, 2041416495
release, 1653844940, 2041416495
release, 1653844940, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#2 is accuqired and released equivalent times
end, , 2041416495
begin, , 2039810346
acquire, 2143437117, 2039810346
acquire, 2143437117, 2039810346
acquire, 2143437117, 2039810346
acquire, 2143437117, 2039810346
acquire, 2143437117, 2039810346
Sum is :6
release, 2143437117, 2039810346
release, 2143437117, 2039810346
release, 2143437117, 2039810346
release, 2143437117, 2039810346
release, 2143437117, 2039810346
Thread Thread_I#0#3 SUCCEEDED:Lock Lock_I#0#3 is accuqired and released equivalent times
end, , 2039810346
begin, , 1043351526
acquire, 2143437117, 1043351526
acquire, 2143437117, 1043351526
acquire, 2143437117, 1043351526
acquire, 2143437117, 1043351526
acquire, 2143437117, 1043351526
Sum is :0
release, 2143437117, 1043351526
release, 2143437117, 1043351526
release, 2143437117, 1043351526
release, 2143437117, 1043351526
release, 2143437117, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#3 is accuqired and released equivalent times
end, , 1043351526
begin, , 260840925
acquire, 1891502635, 260840925
acquire, 1891502635, 260840925
acquire, 1891502635, 260840925
acquire, 1891502635, 260840925
acquire, 1891502635, 260840925
Sum is :10
release, 1891502635, 260840925
release, 1891502635, 260840925
release, 1891502635, 260840925
release, 1891502635, 260840925
release, 1891502635, 260840925
